bojí	boja	boj	bál	bojac	bojaci			bátie
klepe	klepú	klep	klepal	klepúc/klepajúc	klepúci/klepajúci		klepaný	klepanie
klesá	klesajú	klesaj	klesal	klesajúc	klesajúci			klesanie
klíči	klíčia	klíč	klíčil	klíčiac	klíčiaci			klíčenie
kliká	klikajú	klikaj	klikal	klikajúc	klikajúci			klikanie
kloní	klonia	kloň	klonil	kloniac	kloniaci		klonený	klonenie
klope	klopú	klop	klopal	klopúc/klopajúc	klopúci/klopajúci			klopanie
klopí	klopia	klop	klopil	klopiac	klopiaci		klopený	klopenie
kľučí	kľučia	kľuč	kľučal	kľučiac	kľučiaci			kľučanie
kluše / klusá	klušú / klusajú	kluš / klusaj	klusal	klušúc/klusajúc	klusajúci			klusanie
kľuje	kľujú	kľuj	kľuval	kľujúc	kľujúci		kľuvaný	kľuvanie
kmáše/kmása	kmášu/kmásajú	kmáš/kmásaj	kmásal	kmášuc/kmásajúc	kmášuci/kmásajúci		kmásaný	kmásanie
kmitá	kmitajú	kmitaj	kmital	kmitajúc	kmitajúci		kmitaný	kmitanie
kníše	kníšu	kníš	knísal	kníšuc/knísajúc	kníšuci/knísajúci		knísaný	knísanie
kňučí	kňučia	kňuč	kňučal	kňučiac	kňučiaci			kňučanie
kochá	kochajú	kochaj	kochal	kochajúc	kochajúci			kochanie
kokce / koktá	kokcú / koktajú	kokci / koktaj	koktal	koktajúc	koktajúci			koktanie
končí	končia	konči	končil	končiac	končiaci		končený	končenie
kopká	kopkajú	kopkaj	kopkal	kopkajúc	kopkajúci		kopkaný	kopkanie
kopne	kopnú	kopni	kopol	kopnúc		kopnuvší	kopnutý	kopnutie
kotví	kotvia	kotvi	kotvil	kotviac	kotviaci		kotvený	kotvenie
kráča	kráčajú	kráčaj	kráčal	kráčajúc	kráčajúci			kráčanie
krája	krájajú	krájaj	krájal	krájajúc	krájajúci		krájaný	krájanie
kráka	krákajú	krákaj	krákal	krákajúc	krákajúci			krákanie
kráti	krátia	kráť	krátil	krátiac	krátiaci		krátený	krátenie
kreše	krešú/kresajú	kreš	kresal	krešúc/kresajúc	krešúci/kresajúci		kresaný	kresanie
kričí	kričia	krič	kričal	kričiac	kričiaci			kričanie
kríva	krívajú	krívaj	kríval	krívajúc	krívajúci			krívanie
kriví	krivia	kriv	krivil	kriviac	kriviaci		krivený	krivenie
kríži	krížia	kríž	krížil	krížiac	krížiaci		krížený	kríženie
krkve	krkvú	krkvi	krkval	krkvúc/krkvajúc	krkvúci/krkvajúci		krkvaný	krkvanie
kročí	kročia	kroč	kročil	kročiac	kročiaci			kročenie
krojí	kroja	kroj	krojil	krojac		krojivší	krojený	krojenie
kropí	kropia	krop	kropil	kropiac	kropiaci		kropený	kropenie
krotí	krotia	kroť	krotil	krotiac	krotiaci		krotený	krotenie
krstí	krstia	krsť / krsti	krstil	krstiac	krstiaci		krstený	krstenie
kručí	kručia	kruč	kručal	kručiac	kručiaci			kručanie
krúti	krútia	krúť	krútil	krútiac	krútiaci		krútený	krútenie
krúži	krúžia	krúž	krúžil	krúžiac	krúžiaci			krúženie
kucká	kuckajú	kuckaj	kuckal	kuckajúc	kuckajúci			kuckanie
kudlí	kudlia	kudli	kudlil	kudliac	kudliaci		kudlený	kudlenie
kuklí	kuklia	kukli	kuklil	kukliac	kukliaci			kuklenie
kukne	kuknú	kukni	kukol	kuknúc		kuknuvší		kuknutie
kunká	kunkajú	kunkaj	kunkal	kunkajúc	kunkajúci			kunkanie
kupčí	kupčia	kupči	kupčil	kupčiac	kupčiaci			kupčenie
kutre	kutrú	kutri/kutraj	kutral	kutrúc/kutrajúc	kutrúci/kutrajúci			kutranie
kúzli	kúzlia	kúzli	kúzlil	kúzliac	kúzliaci		kúzlený	kúzlenie
kváka / kváče	kvákajú / kváču	kvákaj / kváč	kvákal	kváčuc/kvákajúc	kváčuci/kvákajúci		kvákaný	kvákanie
kvári	kvária	kvár	kváril	kváriac	kváriaci		kvárený	kvárenie
kvasí	kvasia	kvas	kvasil	kvasiac	kvasiaci		kvasený	kvasenie
kvičí	kvičia	kvič	kvičal	kvičiac	kvičiaci			kvičanie
kvíka	kvíkajú	kvíkaj	kvíkal	kvíkajúc	kvíkajúci			kvíkanie
kvíli	kvília	kvíľ	kvílil	kvíliac	kvíliaci			kvílenie
kvočí	kvočia	kvoč	kvočal	kvočiac	kvočiaci			kvočanie
kvoká	kvokajú	kvokaj	kvokal	kvokajúc	kvokajúci			kvokanie
kycká	kyckajú	kyckaj	kyckal	kyckajúc	kyckajúci		kyckaný	kyckanie
kycne	kycnú	kycni	kycol	kycnúc		kycnuvší	kycnutý	kycnutie
kydne	kydnú	kydni	kydol	kydnúc		kydnuvší	kydnutý	kydnutie
kýcha	kýchajú	kýchaj	kýchal	kýchajúc	kýchajúci			kýchanie
kypí	kypia	kyp	kypel	kypiac	kypiaci			kypenie
kyprí	kypria	kypri	kypril	kypriac	kypriaci		kyprený	kyprenie
kyptí	kyptia	kypti	kyptil	kyptiac	kyptiaci		kyptený	kyptenie
kysli	kyslia	kysli	kyslil	kysliac	kysliaci		kyslený	kyslenie
kysne	kysnú	kysni	kysol	kysnúc	kysnúci		kysnutý	kysnutie
kyvká	kyvkajú	kyvkaj	kyvkal	kyvkajúc	kyvkajúci		kyvkaný	kyvkanie
kývne	kývnu	kývni	kývol	kývnuc		kývnuvší	kývnutý	kývnutie
ľahne	ľahnú	ľahni	ľahol	ľahnúc		ľahnuvší	ľahnutý	ľahnutie
lajní	lajnia	lajni	lajnil	lajniac	lajniaci			lajnenie
ľakne	ľaknú	ľakni	ľakol	ľaknúc		ľaknuvší	ľaknutý	ľaknutie
lapká	lapkajú	lapkaj	lapkal	lapkajúc	lapkajúci		lapkaný	lapkanie
ľapne	ľapnú	ľapni	ľapol	ľapnúc		ľapnuvší	ľapnutý	ľapnutie
ľapce	ľapcú 	ľapci	ľaptal	ľapcúc	ľapcúci			ľaptanie
láska	láskajú	láskaj	láskal	láskajúc	láskajúci		láskaný	láskanie
ľažká	ľažkajú	ľažkaj	ľažkal	ľažkajúc		ľažkavší	ľažkaný	ľažkanie
lehní	lehnia	lehni	lehnil	lehniac	lehniaci			lehnenie
lengá	lengajú	lengaj	lengal	lengajúc	lengajúci			lenganie
lepší	lepšia	lepši	lepšil	lepšiac	lepšiaci			lepšenie
leptá	leptajú	leptaj	leptal	leptajúc	leptajúci		leptaný	leptanie
leští	leštia	lešť / lešti	leštil	leštiac	leštiaci		leštený	leštenie
letí	letia	leť	letel	letiac	letiaci			letenie
ležká	ležkajú	ležkaj	ležkal	ležkajúc	ležkajúci			ležkanie
lieči	liečia	lieč	liečil	liečiac	liečiaci		liečený	liečenie
lieni	lienia	lieň	lienil	lieniac	lieniaci			lienenie
liepa	liepajú	liepaj	liepal	liepajúc	liepajúci			liepanie
lieta	lietajú	lietaj	lietal	lietajúc	lietajúci			lietanie
lieva	lievajú	lievaj	lieval	lievajúc	lievajúci			lievanie
lipne	lipnú	lipni	lipol	lipnúc	lipnúci			lipnutie
lisne	lisnú	lisni	lisol	lisnúc	lisnúci			lisnutie
líška	líškajú	líškaj	líškal	líškajúc	líškajúci			líškanie
lizká	lizkajú	lizkaj	lizkal	lizkajúc	lizkajúci		lizkaný	lizkanie
lizne	liznú	lizni	lizol	liznúc		liznuvší	liznutý	liznutie
ločká	ločkajú	ločkaj	ločkal	ločkajúc	ločkajúci		ločkaný	ločkanie
lofne	lofnú	lofni	lofol	lofnúc		lofnuvší	lofnutý	lofnutie
logne	lognú	logni	logol	lognúc		lognuvší	lognutý	lognutie
lopí	lopia	lop	lopel	lopiac	lopiaci			lopenie
lopne	lopnú	lopni	lopol	lopnúc		lopnuvší	lopnutý	lopnutie
lôcha	lôchajú	lôchaj	lôchal	lôchajúc	lôchajúci		lôchaný	lôchanie
lúcha	lúchajú	lúchaj	lúchal	lúchajúc	lúchajúci		lúchaný	lúchanie
lupká	lupkajú	lupkaj	lupkal	lupkajúc	lupkajúci			lupkanie
lupne	lupnú	lupni	lupol	lupnúc		lupnuvší	lupnutý	lupnutie
lúska	lúskajú	lúskaj	lúskal	lúskajúc	lúskajúci		lúskaný	lúskanie
lúšti	lúštia	lúšť / lúšti	lúštil	lúštiac	lúštiaci		lúštený	lúštenie
lysie	lysejú	lysej	lysel	lysejúc 	lysejúci 			lysenie
macká	mackajú	mackaj	mackal	mackajúc	mackajúci		mackaný	mackanie
márni	márnia	márni	márnil	márniac	márniaci		márnený	márnenie
mastí	mastia	masť / masti	mastil	mastiac	mastiaci		mastený	mastenie
mávne	mávnu	mávni	mávol	mávnuc		mávnuvší		mávnutie
mazná / mazne	maznajú / maznú	mazni / maznaj	maznal	maznajúc	maznajúci		maznaný	maznanie
mädlí	mädlia	mädli	mädlil	mädliac	mädliaci		mädlený	mädlenie
mäkčí	mäkčia	mäkči	mäkčil	mäkčiac	mäkčiaci		mäkčený	mäkčenie
mäkne	mäknú	mäkni	mäkol	mäknúc	mäknúci			mäknutie
mešká	meškajú	meškaj	meškal	meškajúc	meškajúci			meškanie
miaga	miagajú	miagaj	miagal	miagajúc	miagajúci		miaganý	miaganie
mieni	mienia	mieň	mienil	mieniac	mieniaci		mienený	mienenie
mieri	mieria	mier	mieril	mieriac	mieriaci		mierený	mierenie
miesi	miesia	mies	miesil	miesiac	miesiaci		miesený	miesenie
mieša	miešajú	miešaj	miešal	miešajúc	miešajúci		miešaný	miešanie
migne	mignú	migni	migol	mignúc		mignuvší	mignutý	mignutie
mihne	mihnú	mihni	mihol	mihnúc		mihnuvší	mihnutý	mihnutie
mizne	miznú	mizni	mizol	miznúc	miznúci			miznutie
mladí	mladia	mlaď	mladil	mladiac	mladiaci		mladený	mladenie
mláti	mlátia	mláť	mlátil	mlátiac	mlátiaci		mlátený	mlátenie
mĺkne	mĺknu	mĺkni	mĺkol	mĺknuc	mĺknuci			mĺknutie
množí	množia	množ	množil	množiac	množiaci		množený	množenie
modlí	modlia	modli	modlil	modliac	modliaci		modlený	modlenie
modrá	modrajú	modraj	modral	modrajúc	modrajúci			modranie
modrí	modria	modri	modril	modriac	modriaci		modrený	modrenie
mojká	mojkajú	mojkaj	mojkal	mojkajúc	mojkajúci		mojkaný	mojkanie
mokne	moknú	mokni	mokol	moknúc	moknúci			moknutie
mokrí	mokria	mokri	mokril	mokriac	mokriaci		mokrený	mokrenie
mokvá	mokvajú	mokvaj	mokval	mokvajúc	mokvajúci			mokvanie
motká	motkajú	motkaj	motkal	motkajúc	motkajúci			motkanie
mračí	mračia	mrač	mračil	mračiac	mračiaci		mračený	mračenie
mrazí	mrazia	mraz	mrazil	mraziac	mraziaci		mrazený	mrazenie
mrdne	mrdnú	mrdni	mrdol	mrdnúc		mrdnuvší		mrdnutie
mrkne	mrknú	mrkni	mrkol	mrknúc		mrknuvší		mrknutie
mrmle	mrmlú	mrmli	mrmlal	mrmlúc	mrmlúci		mrmlaný	mrmlanie
mrnčí	mrnčia	mrnč / mrnči	mrnčal	mrnčiac	mrnčiaci		mrnčaný	mrnčanie
mrnká	mrnkajú	mrnkaj	mrnkal	mrnkajúc	mrnkajúci		mrnkaný	mrnkanie
mŕšti	mŕštia	mŕšť / mŕšti	mŕštil	mŕštiac	mŕštiaci		mŕštený	mŕštenie
mrští	mrštia	mršť / mršti	mrštil	mrštiac		mrštivší	mrštený	mrštenie
mručí	mručia	mruč	mručal	mručiac	mručiaci			mručanie
mrzí	mrzia	mrzni	mrzel	mrziac	mrziaci			mrzenie
mrzne	mrznú	mrzni	mrzol	mrznúc	mrznúci			mrznutie
mucká	muckajú	muckaj	muckal	muckajúc	muckajúci			muckanie
múdri	múdria	múdri	múdril	múdriac	múdriaci			múdrenie
mukne	muknú	mukni	mukol	muknúc		muknuvší	muknutý	muknutie
mumle	mumlú	mumli/mumlaj	mumlal	mumlúc/mumlajúc	mumlúci/mumlajúci		mumlaný	mumlanie
mumre	mumrú	mumri	mumral	mumrúc/mumrajúc	mumrúci/mumrajúci		mumraný	mumranie
musí	musia		musel	musiac	musiaci		musený	musenie
mydlí	mydlia	mydli	mydlil	mydliac	mydliaci		mydlený	mydlenie
mykne	myknú	mykni	mykol	myknúc		myknuvší	myknutý	myknutie
naberie	naberú	naber	nabral	naberúc		nabravší	nabratý/nabraný	nabratie/nabranie
nadeje	nadejú	nadej	nadel	nadejúc		nadiavší	nadiaty	nadiatie
nadeje	nadejú	nadej	nadel	nadejúc		nadevší	nadený/nadetý	nadenie/nadetie
nadíde	nadídu	nadíď	nadišiel	nadíduc			nadídený	nadídenie
nadme	nadmú	nadmi	nadmul	nadmúc		nadmuvší	nadmutý	nadmutie
naderie	naderú	nader	nadral	naderúc		nadravší	nadraný/nadratý	nadranie/nadratie
nadšije	nadšijú	nadši	nadšil	nadšijúc		nadšivší	nadšitý	nadšitie
náhli	náhlia	náhli	náhlil	náhliac	náhliaci		náhlený	náhlenie
naženie	naženú	nažeň	nahnal	naženúc		nahnavší	nahnaný	nahnanie
nahnije	nahnijú	nahni	nahnil	nahnijúc		nahnivší	nahnitý	nahnitie
nahne	nahnú	nahni	nahol	nahnúc		nahnuvší	nahnutý	nahnutie
nahrá	nahrajú	nahraj	nahral	nahrajúc		nahravší	nahratý/nahraný	nahratie/nahranie
nahudie	nahudú	nahuď	nahúdol	nahudúc			nahudený	nahudenie
naje	najedia	najedz	najedol	najediac			najedený	najedenie
nakľuje	nakľujú	nakľuj	nakľul	nakľujúc		nakľuvší	nakľutý	nakľutie
nakryje	nakryjú	nakry	nakryl	nakryjúc		nakryvší	nakrytý	nakrytie
naleje	nalejú	nalej	nalial	nalejúc		naliavší	naliaty	naliatie
naorie	naorú	naor	naoral	naorúc		naoravší	naoraný	naoranie
napasie	napasú	napas	napásol	napasúc			napasený	napasenie
napľuje	napľujú	napľuj	napľul	napľujúc		napľuvší	napľutý	napľutie
napne	napnú	napni	napol	napnúc		napnuvší	napnutý	napnutie
naperie	naperú	naper	napral	naperúc		napravší	napraný/napratý	napranie/napratie
narastie	narastú	narasť / narasti	narástol	narastúc			narastený	narastenie
naseje	nasejú	nasej	nasial	nasejúc		nasiavší	nasiaty	nasiatie
nasnuje	nasnujú	nasnuj	nasnul	nasnujúc		nasnuvší	nasnutý	nasnutie
naspí	naspia	naspi	naspal	naspiac		naspavší	naspaný/naspatý	naspanie/naspatie
naserie	naserú	naser	nasral	naserúc		nasravší	nasraný/nasratý	nasranie/nasratie
nastane	nastanú	nastaň	nastal	nastanúc		nastavší		nastanie/nastatie
nastojí	nastoja	nastoj	nastál	nastojac		nastávší	nastáty	nastátie
natká	natkajú	natkaj	natkal	natkajúc		natkavší	natkaný	natkanie
natlčie	natlčú	natlč	natĺkol	natlčúc			natlčený	natlčenie
naúča	naúčajú	naúčaj	naúčal	naúčajúc	naúčajúci		naúčaný	naúčanie
naučí	naučia	nauč	naučil	naučiac		naučivší	naučený	naučenie
naveje	navejú	navej	navial	navejúc		naviavší	naviaty	naviatie
nazdá	nazdajú	nazdaj	nazdal	nazdajúc	nazdajúci	nazdavší		nazdanie
nazve	nazvú	nazvi	nazval	nazvúc		nazvavší	nazvaný	nazvanie
nažerie	nažerú	nažer	nažral	nažerúc		nažravší	nažratý/nažraný	nažratie/nažranie
nechá	nechajú	nechaj	nechal	nechajúc		nechavší	nechaný	nechanie
nieti	nietia	nieť	nietil	nietiac	nietiaci		nietený	nietenie
ňuchá	ňuchajú	ňuchaj	ňuchal	ňuchajúc	ňuchajúci		ňuchaný	ňuchanie
nutká	nutkajú	nutkaj	nutkal	nutkajúc	nutkajúci		nutkaný	nutkanie
obalí	obalia	obaľ	obalil	obaliac		obalivší	obalený	obalenie
obára	obárajú	obáraj	obáral	obárajúc	obárajúci		obáraný	obáranie
obarí	obaria	obar	obaril	obariac		obarivší	obarený	obarenie
obáva	obávajú	obávaj	obával	obávajúc	obávajúci		obávaný	obávanie
obderie	obderú	obder	obdral	obderúc		obdravší	obdratý/obdraný	obdratie/obdranie
obehá	obehajú	obehaj	obehal	obehajúc		obehavší	obehaný	obehanie
oberá	oberajú	oberaj	oberal	oberajúc	oberajúci		oberaný	oberanie
obesí	obesia	obes	obesil	obesiac		obesivší	obesený	obesenie
obhnije	obhnijú	obhni	obhnil	obhnijúc		obhnivší	obhnitý	obhnitie
obíja	obíjajú	obíjaj	obíjal	obíjajúc	obíjajúci		obíjaný	obíjanie
obje	objedia	objedz	objedol	objediac			objedený	objedenie
obleje	oblejú	oblej	oblial	oblejúc		obliavší	obliaty	obliatie
obopne	obopnú	obopni	obopäl	obopnúc		obopävší	obopätý	obopätie
oborie	oború	obor	oboral	oborúc		oboravší	oboraný	oboranie
oborí	oboria	obor	oboril	oboriac		oborivší	oborený	oborenie
obrastie	obrastú	obrasť / obrasti	obrástol	obrastúc			obrastený	obrastenie
obrní	obrnia	obrň	obrnil	obrniac		obrnivší	obrnený	obrnenie
obseje	obsejú	obsej	obsial	obsejúc		obsiavší	obsiaty	obsiatie
obstane	obstanú	obstaň	obstal	obstanúc		obstavší	obstatý	obstatie
obstojí	obstoja	obstoj	obstál	obstojac		obstávší	obstáty	obstátie
obtlčie	obtlčú	obtlč	obtĺkol	obtlčúc			obtlčený	obtlčenie
obúva	obúvajú	obúvaj	obúval	obúvajúc	obúvajúci		obúvaný	obúvanie
obýva	obývajú	obývaj	obýval	obývajúc	obývajúci		obývaný	obývanie
obžerie	obžerú	obžer	obžral	obžerúc		obžravší	obžratý/obžraný	obžranie/obžratie
ocedí	ocedia	oceď	ocedil	ocediac		ocedivší	ocedený	ocedenie
ocení	ocenia	oceň	ocenil	oceniac		ocenivší	ocenený	ocenenie
ociká	ocikajú	ocikaj	ocikal	ocikajúc		ocikavší	ocikaný	ocikanie
ocitá	ocitajú	ocitaj	ocital	ocitajúc	ocitajúci			ocitanie
očadí	očadia	očaď	očadil	očadiac		očadivší	očadený	očadenie
očarí	očaria	očar	očaril	očariac		očarivší	očarený	očarenie
očeše	očešú	očeš	očesal	očešúc		očesavší	očesaný	očesanie
očúra	očúrajú	očúraj	očúral	očúrajúc			očúraný	očúranie
odhnije	odhnijú	odhni	odhnil	odhnijúc		odhnivší	odhnitý	odhnitie
odhne	odhnú	odhni	odhol	odhnúc		odhnuvší	odhnutý	odhnutie
odje	odjedia	odjedz	odjedol	odjediac			odjedený	odjedenie
odkryje	odkryjú	odkry	odkryl	odkryjúc		odkryvší	odkrytý	odkrytie
odleje	odlejú	odlej	odlial	odlejúc		odliavší	odliaty	odliatie
odolá	odolajú	odolaj	odolal	odolajúc		odolavší		odolanie
odopne	odopnú	odopni	odopäl	odopnúc		odopävší	odopätý	odopätie
odorie	odorú	odor	odoral	odorúc		odoravší	odoraný	odoranie
odpasie	odpasú	odpas	odpásol	odpasúc			odpasený	odpasenie
odpľuje	odpľujú	odpľuj	odpľul	odpľujúc		odpľuvší	odpľutý	odpľutie
odperie	odperú	odper	odpral	odperúc		odpravší	odpratý/odpraný	odpratie/odpranie
odrastie	odrastú	odrasť / odrasti	odrástol	odrastúc			odrastený	odrastenie
odŕha	odŕhajú	odŕhaj	odŕhal	odŕhajúc	odŕhajúci			odŕhanie
odrie	odrú	odri	odrel	odrúc		odrevší	odretý/odrený	odretie/odrenie
odspí	odspia	odspi	odspal	odspiac		odspavší	odspaný/odspatý	odspanie/odspatie
odstane	odstanú	odstaň	odstal	odstanúc		odstavší		odstatie
odstojí	odstoja	odstoj	odstál	odstojac		odstávší	odstáty	odstátie
odtlčie	odtlčú	odtlč	odtĺkol	odtlčúc			odtlčený	odtlčenie
odúča	odúčajú	odúčaj	odúčal	odúčajúc	odúčajúci		odúčaný	odúčanie
odučí	odučia	oduč	odučil	odučiac		odučivší	odučený	odučenie
odúva	odúvajú	odúvaj	odúval	odúvajúc	odúvajúci		odúvaný	odúvanie
odveje	odvejú	odvej	odvial	odvejúc		odviavší	odviaty	odviatie
odžerie	odžerú	odžer	odžral	odžerúc		odžravší	odžraný/odžratý	odžratie/odžranie
ofotí	ofotia	ofoť	ofotil	ofotiac		ofotivší	ofotený	ofotenie
ofŕka	ofŕkajú	ofŕkaj	ofŕkal	ofŕkajúc		ofŕkavší	ofŕkaný	ofŕkanie
ofúka	ofúkajú	ofúkaj	ofúkal	ofúkajúc		ofúkavší	ofúkaný	ofúkanie
ogabe	ogabú	ogab	ogabal	ogabúc		ogabavší	ogabaný	ogabanie
ogrcia	ogrcajú	ogrcaj	ogrcal	ogrcajúc		ogrcavší	ogrcaný	ogrcanie
oháňa	oháňajú	oháňaj	oháňal	oháňajúc	oháňajúci			oháňanie
ohaví	ohavia	ohav	ohavil	ohaviac	ohaviaci		ohavený	ohavenie
ohodí	ohodia	ohoď	ohodil	ohodiac		ohodivší	ohodený	ohodenie
oholí	oholia	ohoľ	oholil	oholiac		oholivší	oholený	oholenie
ohŕda	ohŕdajú	ohŕdaj	ohŕdal	ohŕdajúc	ohŕdajúci		ohŕdaný	ohŕdanie
ohrdí	ohrdia	ohrď	ohrdil	ohrdiac		ohrdivší	ohrdený	ohrdenie
ohreje	ohrejú	ohrej	ohrial	ohrejúc		ohriavší	ohriaty	ohriatie
ohŕňa	ohŕňajú	ohŕňaj	ohŕňal	ohŕňajúc	ohŕňajúci		ohŕňaný	ohŕňanie
ohrnie	ohrnú	ohrň	ohrnul	ohrnúc		ohrnuvší	ohrnutý	ohrnutie
ohryzie	ohryzú	ohryz	ohrýzol	ohryzúc			ohryzený	ohryzenie
ohučí	ohučia	ohuč	ohučal	ohučiac		ohučavší	ohučaný	ohučanie
ohúri	ohúria	ohúr	ohúril	ohúriac		ohúrivší	ohúrený	ohúrenie
ohýba	ohýbajú	ohýbaj	ohýbal	ohýbajúc	ohýbajúci		ohýbaný	ohýbanie
ohýna	ohýnajú	ohýnaj	ohýnal	ohýnajúc	ohýnajúci		ohýnaný	ohýnanie
ochká	ochkajú	ochkaj	ochkal	ochkajúc	ochkajúci			ochkanie
okadí	okadia	okaď	okadil	okadiac		okadivší	okadený	okadenie
okáli	okália	okáľ	okálil	okáliac	okáliaci			okálenie
okope	okopú	okop	okopal	okopúc		okopavší	okopaný	okopanie
okotí	okotia	okoť	okotil	okotiac		okotivší	okotený	okotenie
okuje	okujú	okuj	okoval	okujúc		okovavší	okovaný	okovanie
okreje	okrejú	okrej	okrial	okrejúc		okriavší	okriaty	okriatie
okuká	okukajú	okukaj	okukal	okukajúc		okukavší	okukaný	okukanie
okúka	okúkajú	okúkaj	okúkal	okúkajúc	okúkajúci		okúkaný	okúkanie
okúňa	okúňajú	okúňaj	okúňal	okúňajúc	okúňajúci			okúňanie
okúpe	okúpu	okúp	okúpal	okúpuc		okúpavší	okúpaný	okúpanie
okúsi	okúsia	okús	okúsil	okúsiac		okúsivší	okúsený	okúsenie
okúša	okúšajú	okúšaj	okúšal	okúšajúc	okúšajúci		okúšaný	okúšanie
okúva	okúvajú	okúvaj	okúval	okúvajúc	okúvajúci		okúvaný	okúvanie
okydá	okydajú	okydaj	okydal	okydajúc		okydavší	okydaný	okydanie
oláme	olámu	olám	olámal	olámuc		olámavší	olámaný	olámanie
olepí	olepia	olep	olepil	olepiac		olepivší	olepený	olepenie
olíči	olíčia	olíč	olíčil	olíčiac		olíčivší	olíčený	olíčenie
olíže	olížu	olíž	olízal	olížuc		olízavší	olízaný	olízanie
olúpe	olúpu	olúp	olúpal	olúpuc		olúpavší	olúpaný	olúpanie
olúpi	olúpia	olúp	olúpil	olúpiac		olúpivší	olúpený	olúpenie
omacia	omacajú	omacaj	omacal	omacajúc		omacavší	omacaný	omacanie
omáča	omáčajú	omáčaj	omáčal	omáčajúc	omáčajúci		omáčaný	omáčanie
omaká	omakajú	omakaj	omakal	omakajúc		omakavší	omakaný	omakanie
omáľa	omáľajú	omáľaj	omáľal	omáľajúc	omáľajúci		omáľaný	omáľanie
omámi	omámia	omám	omámil	omámiac		omámivší	omámený	omámenie
omára	omárajú	omáraj	omáral	omárajúc	omárajúci		omáraný	omáranie
omarí	omaria	omar	omaril	omariac		omarivší	omarený	omarenie
omaže	omažú	omaž	omazal	omažúc		omazavší	omazaný	omazanie
omedí	omedia	omeď	omedil	omediac		omedivší	omedený	omedenie
ometá	ometajú	ometaj	ometal	ometajúc	ometajúci		ometaný	ometanie
ometie	ometú	omeť	omietol	ometúc			ometený	ometenie
omína	omínajú	omínaj	omínal	omínajúc	omínajúci		omínaný	omínanie
omelie	omelú	omeľ	omlel	omelúc		omlevší	omletý	omletie
omočí	omočia	omoč	omočil	omočiac		omočivší	omočený	omočenie
omoce / omotá	omocú / omotajú	omoc / omotaj	omotal	omotajúc		omotavší	omotaný	omotanie
omrví	omrvia	omrv	omrvil	omrviac		omrvivší	omrvený	omrvenie
omŕza	omŕzajú	omŕzaj	omŕzal	omŕzajúc	omŕzajúci		omŕzaný	omŕzanie
omýva	omývajú	omývaj	omýval	omývajúc	omývajúci		omývaný	omývanie
onačí	onačia	onač	onačil	onačiac	onačiaci		onačený	onačenie
ondie	ondejú	ondi / ondej	ondial	ondejúc	ondejúci		ondiaty	ondiatie
ondie	ondejú	ondi / ondej	ondel	ondejúc	ondejúci		ondený	ondenie
onemí	onemia	onem	onemil	onemiac		onemivší	onemený	onemenie
oniká	onikajú	onikaj	onikal	onikajúc	onikajúci			onikanie
oondí	oondia	oondi	oondil	oondiac		oondivší	oondený	oondenie
opáči	opáčia	opáč	opáčil	opáčiac		opáčivší	opáčený	opáčenie
opadá	opadajú	opadaj	opadal	opadajúc	opadajúci	opadavší	opadaný	opadanie
opája	opájajú	opájaj	opájal	opájajúc	opájajúci		opájaný	opájanie
opála	opálajú	opálaj	opálal	opálajúc	opálajúci		opálaný	opálanie
opáli	opália	opáľ	opálil	opáliac		opálivší	opálený	opálenie
opára	opárajú	opáraj	opáral	opárajúc	opárajúci		opáraný	opáranie
oparí	oparia	opar	oparil	opariac		oparivší	oparený	oparenie
opáše	opášu	opáš	opásal	opášuc		opásavší	opásaný	opásanie
opeká	opekajú	opekaj	opekal	opekajúc	opekajúci		opekaný	opekanie
opelí	opelia	opeľ	opelil	opeliac		opelivší	opelený	opelenie
operí	operia	oper	operil	operiac		operivší	operený	operenie
opičí	opičia	opič	opičil	opičiac	opičiaci			opičenie
opečie	opečú	opeč	opiekol	opečúc			opečený	opečenie
opíja	opíjajú	opíjaj	opíjal	opíjajúc	opíjajúci		opíjaný	opíjanie
opíli	opília	opíľ	opílil	opíliac		opílivší	opílený	opílenie
opíše	opíšu	opíš	opísal	opíšuc		opísavší	opísaný	opísanie
oplie	oplejú	oplej	oplel	oplejúc		oplevší	opletý	opletie
opojí	opoja	opoj	opojil	opojac		opojivší	opojený	opojenie
oprie	oprú	opri	oprel	oprúc		oprevší	opretý/oprený	opretie/oprenie
oprší	opršia	oprš	opršal	opršiac		opršavší	opršaný	opršanie
opuká	opukajú	opukaj	opukal	opukajúc		opukavší	opukaný	opukanie
opýta	opýtajú	opýtaj	opýtal	opýtajúc		opýtavší	opýtaný	opýtanie
orafe	orafú/orafajú	orafaj	orafal	orafajúc		orafavší	orafaný	orafanie
oráňa	oráňajú	oráňaj	oráňal	oráňajúc		oráňavší	oráňaný	oráňanie
oráva	orávajú	orávaj	orával	orávajúc	orávajúci			orávanie
oreže	orežú	orež	orezal	orežúc		orezavší	orezaný	orezanie
orosí	orosia	oros	orosil	orosiac		orosivší	orosený	orosenie
orúbe	orúbu	orúb	orúbal	orúbuc		orúbavší	orúbaný	orúbanie
orýpe	orýpu	orýp	orýpal	orýpuc		orýpavší	orýpaný	orýpanie
osadí	osadia	osaď	osadil	osadiac		osadivší	osadený	osadenie
osáľa	osáľajú	osáľaj	osáľal	osáľajúc	osáľajúci		osáľaný	osáľanie
